Program Date 	Film Title 	Director 	Year
  	I Never Forget a Face 	Youngson, Robert 	1956
  	Naughty Boy 	Lamont, Charles 	1927
  	Ten Nights in a Bar Room 	O'Connor, William 	1930
  	Topical Budget 	  	1921
9/29/59 	Are Parents People? 	St. Clair, Malcolm 	1925
  	Dog Shy 	McCarey, Leo 	1926
  	Hoodoo Ann 	Ingraham, Lloyd 	1916
10/20/59 	Bad Buck of Santa Ynez 	Hart, William S. 	1914
  	The Captive God 	Swickard, Josef 	1916
  	Mr. Silent Haskins 	Hart, William S. 	1914
  	The Saga of William S. Hart 	  	1959
  	Tumbleweeds 	Baggott, King 	1925
10/27/59 	The Bewitched Trunk [Le coffre enchanté] 	Méliès, Georges 	1904
  	Extraordinary Illusions 	Méliès, Georges 	1903
  	The Marvellous Wreath [La Guirlande merveilleuse] 	Méliès, Georges 	1903
  	The Mysterious Box [La Boîte à malice] 	Méliès, Georges 	1903
  	Giddap 	Lord, Del 	1924
  	Her Terrible Ordeal 	Griffith, D.W. 	1910
  	Lena and the Geese 	Griffith, D.W. 	1912
  	Madonnas and Men 	Rolfe, B.A. 	1920
  	The Wooden Soldier 	Rollin, Jacques 	1928
10/30/59 	The Adventures of Captain Marvel 	Whitney, William and John English 	1941
  	Burn 'Em Up Barnes 	Clark, Colbert 	1934
  	The Clutching Hand 	Herman, Albert 	1936
  	The Crimson Ghost 	Whitney, William 	1946
  	Dick Tracy vs. Crime Inc. 	English, John and William Whitney 	1941
  	Flash Gordon 	Stephani, Frederick 	1936
  	The Galloping Ghost 	Eason, Reeves 	1931
  	The Great Adventures of Wild Bill Hickok 	Nelson, Sam and Mack Wright 	1938
  	The Iron Claw 	Horne, James 	1941
  	Junior G Men of the Air 	Taylor, Ray 	1942
  	The Lost City 	Revier, Harry 	1935
  	The Oregon Trail 	Beebe, Ford 	1939
  	The Return of Chandu 	Taylor, Ray 	1934
  	Tim Tyler's Luck 	Beebe, Ford 	1937
11/17/59 	The Fun Factory 	  	1959
  	Hit 'Im Again 	Semon, Larry 	1943
  	The Little Church Around the Corner 	Seiter, William A. 	1923
  	Those Exciting Days 	Youngson, Robert 	1955
  	Towed in a Hole 	Marshall, George 	1933
11/27/59 	Casey Jones 	Hunt, Charles 	1928
  	The Flame Fighter 	Dillon, Robert 	1925
  	Fighting for Fame 	  	1925
  	The Grim Game 	Willat, Irvin 	1919
  	The Man from Beyond 	King, Burton 	1921
  	The Master Mystery 	King, Burton 	1918
12/15/59 	The Coming of Amos 	Sloane, Paul 	1925
  	Feet of Mud 	Edwards, Harry 	1924
  	King of the Pack 	Richardson, Frank 	1926
  	The Return of Boston Blackie 	Hoyt, Harry 	1927
  	Twice Two 	Parrott, James 	1933
12/30/59 	Below Zero 	Parrott, James 	1930
  	A Hero for a Night 	Craft, William James 	1927
  	His Private Life 	Goodrich, William 	1926
  	The Old Reporter 	Montague, E.J. 	1912
  	Speedy Gonzales 	Freleng, Friz 	1954
