Program Date 	Film Title 	Director 	Year
  	The Wolf's Trail 	Ford, Francis 	1927
7/26/55 	The Story of Vernon & Irene Castle 	Potter, H.C. 	1939
  	Busy Bodies 	French, Lloyd 	1932
  	Movies Are Adventure 	  	1949
8/16/55 	The Flame Fighter 	Dillon, Robert 	1925
  	The Perils of Pauline 	Gasnier, Louis 	1914
  	The Indians Are Coming 	MacRae, Henry 	1930
  	The Iron Claw 	José, Edward 	1916
  	The Hazards of Helen 	McGowan, J.P. 	1913
  	Serial Cavalcade 	  	c.1955
  	The Terrible People 	  	 
9/20/55 	History Brought to Life 	  	1948
  	The Phantom of the Opera 	Julian, Rupert 	1925
  	Polishing Up 	Baker, George D. 	1914
  	A Ship Comes In 	Howard, William K. 	1928
10/5/55 	Cain and Artem 	Petrov-Bytov, B.P. 	1929
  	Made for Laughs 	Anderson, James M. 	1952
  	The Restoration 	Griffith, D.W. 	1909
10/18/55 	The Deputy's Double Cross 	Hill, Robert 	1922
  	Hope 	Hillyer, Lambert 	1922
  	The Sophomore 	McCarey, Leo 	1929
  	Were Tiger 	Bracken, Bertram 	1915
11/15/55 	Ella Cinders 	Green, Alfred E. 	1926
  	Lorna Doone 	Tourneur, Maurice 	1922
12/20/55 	Auntie's Portrait 	Baker, George D. 	1914
  	His New Profession 	Chaplin, Charles 	1914
  	Paint and Powder 	Stromberg, Hunt 	1925
  	Sailors, Beware 	Yates, Hal 	1927
1/17/56 	Hell's Hinges 	Hart, William S. 	1916
  	The Lighthouse by the Sea 	St. Clair, Malcolm 	1924
2/21/56 	Ben Hur 	Niblo, Fred 	1925
  	The Charge of the Light Brigade 	Curtiz, Michael 	1936
  	The Devil Horse 	Brower, Otto 	1932
  	The Flying Fool 	Mattison, Frank S. 	1925
  	Let's Go 	Howard, William K. 	1923
  	The Mysterious Doctor Satan 	Whitney, William and John English 	1940
  	Never Give a Sucker an Even Break 	Cline, Edward 	1941
  	Riders of the Dawn 	Bradbury, Robert N. 	1937
3/20/56 	Alaskan Adventures 	Robertson, Jack 	1925
  	Me and My Dog 	Bruce, Robert (producer) 	1925
  	White Shadows in the South Seas 	Van Dyke, W.S. 	1928
3/27/56 	Broadway 	Fejos, Paul 	1929
  	Hallelujah I'm a Bum 	Milestone, Lewis 	1933
4/17/56 	The Fall of the House of Usher 	Pizzo, Sal 	1955
  	Merry Go Round 	Von Stroheim, Erich and Rupert Julian 	1923
5/15/56 	The Birth of a Nation 	Griffith, D.W. 	1915
  	Boomerang 	Bracken, Bertram 	1919
  	Change of Spirit 	Griffith, D.W. 	1912
  	Confession 	Bracken, Bertram 	1918
  	Ghosts 	Nichols, George 	1915
  	The Girl Who Wouldn't Work 	De Sano, Marcel 	1925
  	The Light in the Window 	Pembroke, Scott 	1927
  	The Lonedale Operator 	Griffith, D.W. 	1911
  	The Mine with the Iron Door 	Howard, David 	1936
  	The Raven 	Brabin, Charles 	1915
  	The Scarlet Letter 	Sjöström, Victor 	1926
  	The Truant Soul 	Beaumont, Harry 	1916
6/19/56 	A Corner in Wheat 	Griffith, D.W. 	1909
  	Officer 444 	Ford, Francis and Ben Wilson 	1926
  	That Certain Thing 	Capra, Frank 	1928
  	Cowboy Ambrose 	Lehrman, Henry 	c.1917- 1922
6/23/56 	At Dawn 	Crisp, Donald 	1914
  	The Doll House Mystery 	Franklin, Chester and Sidney Franklin 	1915
  	Dombey and Son 	Elvey, Maurice 	1917
  	Madame Behave 	Sidney, Scott 	1926
  	Miss Bluebeard 	Tuttle, Frank 	1925
  	Pathways of Life 	Cabanne, Christy 	1916
  	The Perils of Pauline 	Gasnier, Louis 	1914
  	Vanity 	Crisp, Donald 	1927
  	Wife and Auto Trouble 	Henderson, Del 	1916
7/10/56 	The Greeks Had a Word for Them 	Sherman, Lowell 	1932
  	Men O'War 	Foster, Lewis 	1929
  	The Telephone Girl and the Lady 	O'Sullivan, Tony 	1913
7/17/56 	The Bells 	Young, James 	1926
  	The Marriage Clause 	Weber, Lois 	1926
  	The Mothering Heart 	Griffith, D.W. 	1913
  	Officer 444 	Ford, Francis and Ben Wilson 	1926
8/21/56 	A Dog's Life 	Chaplin, Charlie 	1918
  	Fluttering Hearts 	McCarey, Leo 	1927
  	His Day Out 	West, Billy 	1917
  	Shoulder Arms 	Chaplin, Charles 	1918
  	Syd's Backward Ways AKA Gussle's Backward Way 	  	1915
8/28/56 	The Man on the Box 	Reisner, Charles F. 	1925
  	Officer 444 	Ford, Francis and Ben Wilson 	1926
  	The Night Cry 	Raymaker, Herman 	1926
9/18/56 	Are Parents People? 	St. Clair, Malcolm 	1925
  	The Kiss 	Feyder, Jacques 	1929
  	Officer 444 	Ford, Francis 	1926
9/25/56 	Bulldog Jack 	Forde, Walter 	1935
  	No Limit 	Banks, Monty 	1935
10/16/56 	The Heart of an Indian (AKA The Indian Massacre) 	Ince, Thomas 	1912
  	Old Heidelberg 	Emerson, John 	1915
  	Uncensored Movies 	Clements, Roy 	1923
  	Officer 444 	Ford, Francis and Ben Wilson 	1926
10/23/56 	A Girl and Her Trust 	Griffith, D.W. 	1912
  	Romola 	King, Henry 	1924
11/20/56 	Big Moments from Little Pictures 	Clements, Roy 	1924
  	His Last Race 	Eason, B. Reeves 	1923
  	Judith of Bethulia 	Griffith, D.W. 	1913
  	Officer 444 	Ford, Francis 	1926
11/27/56 	The Battle at Elderbush Gulch 	Griffith, D.W. 	1913
  	The Battle 	Griffith, D.W. 	1912
  	The Drummer of the Eighth 	Ince, Thomas 	1913
  	Fighting Blood 	Griffith, D.W. 	1911
  	His Trust 	Griffith, D.W. 	1911
  	The House with Closed Shutters 	Griffith, D.W. 	1910
  	In the Tennessee Hills 	Miller, Charles 	1915
  	The Last Drop of Water 	Griffith, D.W. 	1911
  	Past Redemption 	King, Burton 	1913
  	Silent Heroes 	Ince, Thomas 	1913
  	The Woman 	Giblyn, Charles 	1913
12/11/56 	Never Weaken 	Newmeyer, Fred 	1921
  	The Road to Yesterday 	DeMille, Cecil B. 	1925
12/18/56 	The Primrose Path 	Hoyt, Harry 	1925
  	The Still Alarm 	Laemmle, Edward 	1925
  	Officer 444 	Ford, Francis 	1926
1/15/57 	Boobs in the Wood 	Edwards, Harry 	1924
  	In the Watches of the Night 	Griffith, D.W. 	1909
  	Smouldering Fires 	Brown, Clarence 	1924
  	Tom, Tom, the Piper's Son 	Bitzer, Billy (camera) 	1905
1/29/57 	The Circus 	Chaplin, Charles 	1928
  	Flight for a Fortune 	Cabanne, Christy 	1914
  	Law and Order 	Parrott, Charles 	1921
  	Officer 444 	Ford, Francis and Ben Wilson 	1926
2/19/57 	The Golden Clown 	Sandberg, A.W. 	1927
  	Lizzies of the Field 	Cline, Edward 	1924
  	Looking for Sally 	McCarey, Leo 	1925
  	Nju 	Czinner, Paul 	1924
  	The Knife Thrower 	Weinberg, Herman and Max Weinberg 	1951
2/26/57 	Pay Day 	Chaplin, Charles 	1922
  	The Usurer 	Griffith, D.W. 	1910
  	The White Tiger 	Browning, Tod 	1923
3/22/57 	Beau Brummel 	Beaumont, Harry 	1924
  	General Electric Commercial 	  	1933
  	Lindbergh's Flight 	  	 
  	State's Attorney 	Archianbaud, George 	1932
  	Vagabonding in the Pacific with John Barrymore 	  	1925
3/26/57 	The Lesser Evil 	Griffith, D.W. 	1912
  	Officer 444 	Ford, Francis 	1926
  	Sporting Life 	Tourneur, Maurice 	1925
  	The Switchtower 	O'Sullivan, Tony 	1912
  	A Terrible Discovery 	Griffith, D.W. 	1911
4/16/57 	The Indians Are Coming 	MacRae, Henry 	1930
  	The Return of Draw Egan 	Hart, William S. 	1916
  	Thundering Hoofs 	Rogell, Albert 	1924
4/23/57 	Another Man's Boots 	Craft, William James 	1922
  	Fight It Out 	Russell, Albert 	1920
  	Red Raiders 	Rogell, Albert 	1927
4/30/57 	The Prairie Pirate 	Mortimer, Edmund 	1925
  	Tumbleweeds 	Baggot, King 	1925
5/21/57 	The Bat Whispers 	West, Roland 	1931
  	Her Awakening 	Cabanne, Christy 	1914
  	The Miser's Heart 	Griffith, D.W. 	1911
  	Soul of the Beast 	Wray, John Griffith 	1923
